City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Pahrump,US,2022-01-30 23:56:25,36.2083,-115.9839,290.95,11,0,0.45
91,Samarai,PG,2022-01-30 23:57:26,-10.6167,150.6667,301.87,70,100,5.27
92,Arcata,US,2022-01-30 23:57:26,40.8665,-124.0828,286.86,80,89,1.17
93,Dikson,RU,2022-01-30 23:57:27,73.5069,80.5464,252.48,94,100,9.97
94,Puro,PH,2022-01-30 23:57:27,12.4841,123.3827,299.77,79,14,4.49
95,Meulaboh,ID,2022-01-30 23:57:28,4.1363,96.1285,297.61,87,76,1.92
96,Auce,LV,2022-01-30 23:57:28,56.4598,22.9017,271.4,92,100,7.05
97,Albany,US,2022-01-30 23:54:43,42.6001,-73.9662,264.06,50,23,1.71
98,Vigrestad,NO,2022-01-30 23:57:29,58.5667,5.7,274.8,82,100,3.39
99,Nanortalik,GL,2022-01-30 23:57:29,60.1432,-45.2371,266.05,74,100,9.35
100,Kaka,TM,2022-01-30 23:57:30,37.3482,59.6143,277.12,63,0,2.51
101,Sungairaya,ID,2022-01-30 23:57:30,0.7,108.9,298.22,87,100,2.3
102,Ribas Do Rio Pardo,BR,2022-01-30 23:57:30,-20.4431,-53.7592,296.18,90,99,4.51
103,Collie,AU,2022-01-30 23:57:31,-33.3667,116.15,290.92,59,91,6.02
104,La Ronge,CA,2022-01-30 23:57:31,55.1001,-105.2842,262.29,79,100,2.57
105,Puerto Ayora,EC,2022-01-30 23:57:32,-0.7393,-90.3518,296.84,78,100,3.43
106,Temyasovo,RU,2022-01-30 23:57:32,52.9933,58.1014,261.35,95,100,3.7
107,Hermanus,ZA,2022-01-30 23:57:32,-34.4187,19.2345,294.76,85,96,6.03
108,Mayumba,GA,2022-01-30 23:57:33,-3.432,10.6554,297.95,87,99,0.26
109,Price,US,2022-01-30 23:57:33,39.5994,-110.8107,275.6,51,0,0.54
110,Kainantu,PG,2022-01-30 23:57:34,-6.2887,145.8655,293.42,72,100,1.63
111,Kozlovka,RU,2022-01-30 23:57:34,55.8428,48.2492,266.73,100,100,1.85
112,Maldonado,UY,2022-01-30 23:57:35,-34.6667,-54.9167,297.81,71,1,3.51
113,Ribeira Grande,PT,2022-01-30 23:57:35,38.5167,-28.7,288.56,71,63,10.38
114,Rosh Pinna,IL,2022-01-30 23:57:36,32.9689,35.5426,279.58,66,80,0.96
115,Kaili,ID,2022-01-30 23:57:36,-3.4626,120.2147,296.57,66,99,0.5
116,Nhlangano,SZ,2022-01-30 23:57:37,-27.1167,31.2,290.79,93,99,0.88
117,Mkushi,ZM,2022-01-30 23:57:37,-13.6202,29.3939,290.31,97,95,0.7
118,Ilulissat,GL,2022-01-30 23:57:37,69.2167,-51.1,250.46,75,83,4.95
119,Cidreira,BR,2022-01-30 23:54:37,-30.1811,-50.2056,296.35,70,4,8.36
120,Vaini,TO,2022-01-30 23:57:38,-21.2,-175.2,300.28,73,100,4.76
121,Ponta Do Sol,PT,2022-01-30 23:57:39,32.6667,-17.1,291.55,36,1,4.51
122,Buala,SB,2022-01-30 23:57:39,-8.145,159.5921,302.75,69,99,1.99
123,Novoorsk,RU,2022-01-30 23:57:39,51.381,58.9813,269.51,93,100,5.27
