City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
28,Dunedin,NZ,292.48,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
30,Sao Joao Da Barra,BR,297.46,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
31,Hilo,US,296.0,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
32,Portland,US,278.31,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
33,Kushima,JP,287.17,light rain,31.4583,131.2333,Hanaoka
34,Bredasdorp,ZA,294.97,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
35,Castro,BR,289.27,clear sky,-24.7911,-50.0119,CHACARA BAILLY
36,Antsohihy,MG,300.33,overcast clouds,-14.8796,47.9875,Hotel de Ville
37,Puerto Cabezas,NI,294.34,clear sky,14.0351,-83.3888,Cabaña Caribe
38,Missoula,US,265.37,overcast clouds,47.0166,-113.8009,Gold Creek Cabin
39,Cherskiy,RU,252.93,overcast clouds,68.75,161.3,Gostinitsa
40,Mali,GN,289.46,scattered clouds,12.079,-12.2982,Hotel La Dame de Mali
41,Hasaki,JP,283.31,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
42,Narsaq,GL,269.27,overcast clouds,60.9167,-46.05,Sleep In Narsaq
43,Jamestown,US,269.66,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Fortuna,US,282.0,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
46,Marsa Matruh,EG,284.26,scattered clouds,31.3525,27.2453,Beau Site
48,Torbay,CA,273.47,broken clouds,47.6666,-52.7314,Gallows Cove
49,Apt,FR,277.31,scattered clouds,43.8833,5.4,Vacances ULVF Castel Luberon
50,Agucadoura,PT,281.46,clear sky,41.4318,-8.7804,Varzinn Hotel
51,Salalah,OM,293.2,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
52,Severo-Kurilsk,RU,271.47,overcast clouds,50.6789,156.125,Kak Doma
53,Praia,CV,294.45,clear sky,14.9215,-23.5087,LT Aparthotel
54,Carnarvon,AU,304.19,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
55,Aklavik,CA,251.61,overcast clouds,68.2191,-135.0107,Aklavik Inn
56,Hobart,AU,296.07,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
57,Puerto Ayora,EC,295.12,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
58,Tarko-Sale,RU,255.57,overcast clouds,64.9225,77.785,Yubileynaya
60,Dicabisagan,PH,296.66,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
61,Dzilam Gonzalez,MX,290.47,scattered clouds,21.2833,-88.9333,posadas
62,Waipawa,NZ,297.5,broken clouds,-41.4122,175.5153,Tora Coastal Walk
63,New Norfolk,AU,295.87,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
64,Marawi,PH,300.25,broken clouds,7.9986,124.2928,Derogongan Residence
65,Khatanga,RU,238.72,few clouds,71.9667,102.5,"""Khatanga"""
66,Vila Velha,BR,296.12,heavy intensity rain,-20.3297,-40.2925,Quality Suites Vila Velha
67,Harper,LR,298.25,broken clouds,4.375,-7.7169,Screensaver
68,Newport,GB,283.07,overcast clouds,51.5877,-2.9984,ibis budget Newport
69,Takoradi,GH,297.86,overcast clouds,4.8845,-1.7554,Raybow International Hotel
70,Punta Arenas,CL,281.21,light rain,-53.15,-70.9167,Hotel Hain
71,Mehamn,NO,269.12,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
72,Port Alfred,ZA,298.37,overcast clouds,-33.5906,26.891,The Halyards Hotel
73,Butaritari,KI,300.9,light rain,3.0707,172.7902,Isles Sunset Lodge
74,Longyearbyen,SJ,263.06,light snow,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
75,Ankang,CN,280.68,light rain,32.68,109.0172,安琪酒店
76,The Valley,AI,298.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
77,Sri Aman,MY,305.18,few clouds,1.2376,111.4621,Seri Simanggang Hotel
78,Saint George,US,283.9,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
79,Mandalgovi,MN,261.24,clear sky,45.7625,106.2708,В.Ганбат
80,Clyde River,CA,244.28,overcast clouds,70.4692,-68.5914,Qamaq Hotel
81,Qaanaaq,GL,244.46,few clouds,77.484,-69.3632,Qaanaaq Hotel
82,Saint-Philippe,RE,301.9,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
83,Kununurra,AU,306.14,overcast clouds,-15.7667,128.7333,Hotel Kununurra
84,Ponta Do Sol,PT,291.55,clear sky,32.6667,-17.1,Hotel do Campo
85,Hamilton,US,274.62,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
86,Alofi,NU,300.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
87,Trud,BG,273.25,broken clouds,42.2333,24.7333,Къща ХВ
88,Acapulco,MX,299.05,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
89,Mar Del Plata,AR,289.75,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
90,Prainha,BR,295.9,overcast clouds,-1.8,-53.48,Casa Rocha
91,Lac-Megantic,CA,258.16,overcast clouds,45.5834,-70.8823,Motel Le Quiet
92,Nador,MA,291.29,clear sky,35.174,-2.9287,Hôtel La Giralda
93,Kieta,PG,302.36,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
94,Xining,CN,266.36,scattered clouds,36.6167,101.7667,Super Leisure Hotel
95,Muros,ES,283.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
96,Hithadhoo,MV,301.24,clear sky,-0.6,73.0833,Scoop Guest House
97,Codrington,AU,289.5,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
98,Kodiak,US,274.88,light snow,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
99,Bathsheba,BB,298.49,scattered clouds,13.2167,-59.5167,Atlantis Hotel
100,Tynda,RU,256.13,scattered clouds,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
101,Sao Filipe,CV,297.03,overcast clouds,14.8961,-24.4956,Hotel Xaguate
102,Kailua,US,297.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
103,Ketchikan,US,275.41,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
104,Sesheke,ZM,292.75,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
105,Turayf,SA,273.29,clear sky,31.6725,38.6637,Turaif
106,Nuuk,GL,264.49,light snow,64.1835,-51.7216,Vandrehuset
108,Tiksi,RU,249.37,overcast clouds,71.6872,128.8694,Arktika
109,Lorengau,PG,298.51,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
110,Isangel,VU,300.33,overcast clouds,-19.55,169.2667,Tanna Lodge
111,Banjar,ID,305.07,scattered clouds,-8.19,114.9675,The Hamsa Resort
112,Barrow,US,246.16,overcast clouds,71.2906,-156.7887,King Eider Inn
113,Phulji,PK,295.13,clear sky,26.8825,67.6807,Irfan hotel Phulji
114,Lagoa,PT,288.14,broken clouds,39.05,-27.9833,Casa Das Faias
115,Berlevag,NO,269.15,scattered clouds,70.8578,29.0864,Kvitbrakka
116,Ulaanbaatar,MN,252.22,few clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
117,Kavieng,PG,299.4,moderate rain,-2.5744,150.7967,Nusa Island Retreat
118,Olenino,RU,267.16,overcast clouds,56.2092,33.4889,Kolos
119,Rolla,US,283.07,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
120,Wuwei,CN,269.1,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
121,Mahebourg,MU,301.07,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
123,Rocha,UY,286.15,clear sky,-34.4833,-54.3333,Hotel Arrarte
124,Bubaque,GW,297.88,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
125,Pochutla,MX,298.62,clear sky,15.7432,-96.4661,Hotel Posada San Jose
126,Fuyu,CN,260.76,few clouds,45.1833,124.8167,Education Hostel
127,Lensk,RU,256.12,overcast clouds,60.7253,114.9278,ТинОрС
128,Pisco,PE,295.18,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
129,Ulaangom,MN,245.28,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
132,Raymondville,US,292.58,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
133,Tamandare,BR,298.49,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
135,Lewistown,US,268.99,mist,40.5992,-77.5714,Quality Inn & Suites
136,Whitecourt,CA,254.73,broken clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
137,Tautira,PF,302.04,light rain,-17.7333,-149.15,Pension Oaoa
138,Marevo,RU,268.16,snow,57.3146,32.0804,"Ivushka, Gostinitsa"
139,Svay Rieng,KH,305.53,few clouds,11.0879,105.7993,Apsara guesthouse
140,Tuktoyaktuk,CA,243.15,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
141,Maniitsoq,GL,262.24,light snow,65.4167,-52.9,Hotel Heilmann Lyberth
143,Port Hardy,CA,276.9,light intensity shower rain,50.6996,-127.4199,Airport Inn-Port Hardy
145,Puerto Escondido,MX,299.61,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
146,Chuy,UY,288.42,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
147,Quatre Cocos,MU,300.98,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
148,Monrovia,LR,296.02,broken clouds,6.3005,-10.7969,Sunset Inn
149,Mahon,ES,283.46,overcast clouds,39.8885,4.2658,ARTIEM Capri
150,Codo,BR,296.34,broken clouds,-4.4553,-43.8856,Hotel Porto do Sol
151,Pimentel,PE,294.43,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
152,Bethel,US,266.87,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
153,Iqaluit,CA,239.09,clear sky,63.7506,-68.5145,Frobisher Inn
154,Vestmannaeyjar,IS,273.62,scattered clouds,63.4427,-20.2734,Glamping & Camping
155,Bonavista,CA,272.66,scattered clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
156,Port Lincoln,AU,291.89,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
157,Arraial Do Cabo,BR,297.77,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
159,Victoria,HK,288.84,overcast clouds,22.2855,114.1577,Mini Hotel Central
160,Kuching,MY,304.27,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
161,Sarkand,KZ,269.53,overcast clouds,45.41,79.9186,Гостиница Сарканд
163,Coquimbo,CL,291.0,overcast clouds,-29.9533,-71.3436,Hostel Del Puerto
164,Sao Raimundo Das Mangabeiras,BR,296.45,broken clouds,-7.0219,-45.4811,Hotel Tropical
165,Ahipara,NZ,295.06,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
166,Narrabri,AU,309.55,scattered clouds,-30.3167,149.7833,Crossroads Hotel
167,Avarua,CK,299.18,few clouds,-21.2078,-159.775,Paradise Inn
168,Ahuimanu,US,297.99,few clouds,21.4447,-157.8378,Paradise Bay Resort
169,Olga,RU,268.27,clear sky,43.7444,135.2892,Gostinitsa Rosmorport.
170,Karatau,KZ,273.99,scattered clouds,43.1667,70.4667,Baza Zika
171,Caravelas,BR,298.11,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
172,Chiredzi,ZW,295.15,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
173,Turukhansk,RU,261.03,light snow,65.8167,87.9833,"ООО ""Туруханская пушнина"""
